province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
KIRŞEHİR,2018,7.097,19.553,55.822,27.117,22.112,49.200,28.090,2.723,2.047,213.761
KIRŞEHİR,2023,5.646,20.012,52.890,36.049,14.146,57.338,33.618,4.531,6.972,231.202
KİLİS,2008,12.432,28.467,27.128,3.394,12.603,11.026,3.267,144,6.953,105.414
KİLİS,2013,5.951,28.164,20.606,3.831,28.450,15.968,7.577,525,1.077,112.149
KİLİS,2018,4.450,15.057,27.800,18.498,21.696,21.390,12.636,1.069,1.788,124.384
KİLİS,2023,3.207,15.702,24.328,30.675,11.706,31.086,18.697,2.474,1.028,138.903
KOCAELİ,2008,62.883,261.063,383.177,71.628,142.575,248.643,75.520,5.490,91.811,1.342.790
KOCAELİ,2013,41.249,261.759,300.826,71.683,309.659,314.050,157.698,13.701,35.829,1.506.454
KOCAELİ,2018,33.480,155.439,383.043,238.621,221.651,397.715,244.726,25.266,10.136,1.710.077
KOCAELİ,2023,30.612,170.005,364.579,336.087,129.212,508.958,341.132,41.070,12.053,1.933.708
KONYA,2008,117.969,358.755,636.522,61.072,204.141,231.605,81.757,6.751,63.327,1.761.899
KONYA,2013,53.128,376.278,522.355,63.994,379.299,270.550,154.547,16.377,26.006,1.862.534
KONYA,2018,42.402,200.439,599.982,252.658,266.849,345.159,222.886,29.480,15.920,1.975.775
KONYA,2023,37.723,201.340,554.327,383.375,153.372,436.608,294.027,47.827,23.053,2.131.652
KÜTAHYA,2008,42.687,89.712,200.323,22.191,53.501,77.496,21.342,1.631,13.186,522.069
KÜTAHYA,2013,14.910,93.248,156.709,20.803,97.111,96.458,44.342,3.964,2.083,529.628
KÜTAHYA,2018,10.728,51.799,160.321,62.036,66.143,109.340,60.510,6.196,2.133,529.206
KÜTAHYA,2023,8.259,46.545,145.682,81.111,44.380,129.948,72.913,10.378,4.098,543.314
MALATYA,2008,66.326,143.178,146.589,32.679,74.581,112.330,31.603,1.682,50.455,659.423
MALATYA,2013,46.901,135.718,125.133,31.134,129.710,130.265,68.966,5.183,13.911,686.921
MALATYA,2018,39.383,73.270,165.565,99.916,77.068,156.702,95.634,9.883,4.782,722.203
MALATYA,2023,30.457,64.145,142.012,118.776,43.046,165.860,106.322,14.139,4.627,689.384
