year,province,party,votes,seats
2015,Sakarya,dsp,1320,0
2015,Sakarya,other,1032,0
2015,Sakarya,dp,1005,0
2015,Samsun,akp,399684,5
2015,Samsun,chp,174614,2
2015,Samsun,mhp,134840,2
2015,Siirt,dem,94184,2
2015,Siirt,akp,41775,1
2015,Siirt,mhp,3693,0
2015,Siirt,chp,2301,0
2015,Siirt,sp,1526,0
2015,Sinop,akp,61544,1
2015,Sinop,chp,36774,1
2015,Sinop,mhp,21724,0
2015,Sinop,sp,2350,0
2015,Sinop,dem,2156,0
2015,Sivas,akp,217102,3
2015,Sivas,mhp,67934,1
2015,Sivas,chp,56605,1
2015,Sivas,sp,23456,0
2015,Sivas,dem,6764,0
2015,Şanlıurfa,akp,365329,7
2015,Şanlıurfa,dem,297417,5
2015,Şanlıurfa,mhp,44111,0
2015,Şanlıurfa,chp,34309,0
2015,Şanlıurfa,other,1413,0
2015,Şanlıurfa,sp,7866,0
2015,Şanlıurfa,dsp,1326,0
2015,Şırnak,dem,189044,4
2015,Şırnak,akp,21895,0
2015,Şırnak,mhp,5786,0
2015,Şırnak,chp,2987,0
2015,Şırnak,other,2826,0
2015,Tekirdağ,chp,255560,3
2015,Tekirdağ,akp,184015,2
2015,Tekirdağ,mhp,87550,1
2015,Tekirdağ,dem,34210,0
2015,Tekirdağ,sp,8006,0
2015,Tekirdağ,other,1882,0
2015,Tekirdağ,dsp,1275,0
2015,Tekirdağ,dp,1179,0
2015,Tokat,akp,184566,3
2015,Tokat,mhp,77620,1
2015,Tokat,chp,74258,1
2015,Tokat,sp,10343,0
2015,Tokat,dem,6068,0
2015,Trabzon,akp,258685,4
2015,Trabzon,mhp,97064,1
2015,Trabzon,chp,79603,1
2015,Trabzon,sp,16632,0
2015,Trabzon,dem,6175,0
2015,Trabzon,dp,1336,0
2015,Tunceli,dem,32529,2
2015,Tunceli,chp,11117,0
2015,Tunceli,akp,6241,0
2015,Tunceli,mhp,3244,0
2015,Uşak,akp,89016,1
2015,Uşak,chp,65346,1
2015,Uşak,mhp,63796,1
2015,Uşak,dem,6487,0
2015,Uşak,sp,4189,0
2015,Van,dem,370829,7
2015,Van,akp,101153,1
2015,Van,mhp,14382,0
2015,Van,chp,6804,0
2015,Van,sp,3470,0
2015,Van,other,3093,0
2015,Yalova,akp,55951,1
2015,Yalova,chp,40612,1
2015,Yalova,mhp,27072,0
2015,Yalova,dem,12067,0
2015,Yalova,sp,2740,0
2015,Yozgat,akp,142698,3
2015,Yozgat,mhp,67471,1
2015,Yozgat,chp,22581,0
2015,Yozgat,sp,6141,0
2015,Yozgat,dem,3422,0
2015,Zonguldak,chp,147652,2
2015,Zonguldak,akp,146644,2
2015,Zonguldak,mhp,62301,1
2015,Zonguldak,sp,12295,0
2015,Zonguldak,dem,6154,0
2015,Zonguldak,dsp,1659,0
2015,Zonguldak,other,1548,0
2015,Zonguldak,dp,1208,0
